"","node_us","node_ds"
"1","n01","n02"
"2","n02","n03"
"3","n03","n04"
"4","n04","n9b"
"5","n05","n02"
"6","n06","n03"
"7","n07","n08"
"8","n08","nac"
"9","n09","n0a"
"10","n0a","n06"
"11","n0b","n0c"
"12","n0c","n05"
"13","n0d","n0e"
"14","n0e","n07"
"15","n0f","n12"
"16","n10","n11"
"17","n11","n15"
"18","n12","n13"
"19","n13","n14"
"20","n14","n09"
"21","n15","n16"
"22","n16","n0b"
"23","n17","n19"
"24","n18","n0d"
"25","n19","n1a"
"26","n1a","n18"
"27","n1b","n1f"
"28","n1c","n11e"
"29","n1d","n1b"
"30","n1e","n1d"
"31","n1e","n121"
"32","n1f","n1c"
"33","n20","n22"
"34","n21","n1f"
"35","n22","n23"
"36","n23","n21"
"37","n24","n91"
"38","n25","n24"
"39","n26","n25"
"40","n27","n20"
"41","n28","n29"
"42","n29","n2a"
"43","n2a","n27"
"44","n2b","n2c"
"45","n2c","n2d"
"46","n2d","n28"
"47","n2e","nc6"
"48","n2f","n2e"
"49","n30","n2f"
"50","n31","n30"
"51","n32","n31"
"52","n33","n49"
"53","n33","n54"
"54","n34","n35"
"55","n35","n128"
"56","n36","nd6"
"57","n37","n34"
"58","n38","n44"
"59","n38","n48"
"60","n39","n12a"
"61","n39","n1e"
"62","n3a","n39"
"63","n3b","n3a"
"64","n3c","n3b"
"65","n3d","n4b"
"66","n3e","n3f"
"67","n3e","n4a"
"68","n3f","n4c"
"69","n40","n4d"
"70","n41","n40"
"71","n42","n41"
"72","n43","n42"
"73","n44","n45"
"74","n45","n46"
"75","n46","n42"
"76","n47","n41"
"77","n48","n8c"
"78","n49","n3e"
"79","n4a","n3d"
"80","n4b","n3c"
"81","n4c","n40"
"82","n4d","n39"
"83","n4e","n43"
"84","n4f","n4e"
"85","n50","n44"
"86","n51","n76"
"87","n52","n51"
"88","n53","n33"
"89","n54","n52"
"90","n55","n53"
"91","n56","n57"
"92","n57","n58"
"93","n58","n59"
"94","n59","n5f"
"95","n5a","n5b"
"96","n5b","n5c"
"97","n5c","n60"
"98","n5d","n74"
"99","n5e","n74"
"100","n5f","n5b"
"101","n60","n5d"
"102","n61","n5e"
"103","n62","n56"
"104","n63","n37"
"105","n64","n67"
"106","n65","n66"
"107","n66","n75"
"108","n67","n57"
"109","n68","n63"
"110","n69","n6a"
"111","n6a","n58"
"112","n6b","n6e"
"113","n6c","n6d"
"114","n6d","n6b"
"115","n6e","n70"
"116","n6f","n22a2"
"117","n70","n6f"
"118","n71","n6e"
"119","n72","n71"
"120","n73","n76"
"121","n74","n75"
"122","n75","n68"
"123","n76","n69"
"124","n77","n73"
"125","n78","n6a"
"126","n79","n78"
"127","n7a","n7b"
"128","n7b","n78"
"129","n7c","n6a"
"130","n7d","n8b"
"131","n7d","n81"
"132","n7e","n7f"
"133","n7f","n80"
"134","n80","n81"
"135","n81","n47"
"136","n82","n83"
"137","n83","n84"
"138","n84","n8c"
"139","n85","n86"
"140","n86","n87"
"141","n87","n88"
"142","n88","n8a"
"143","n89","n88"
"144","n8a","n8b"
"145","n8b","n84"
"146","n8c","n8e"
"147","n8d","n62"
"148","n8e","n52"
"149","n8f","n85"
"150","n90","n88"
"151","n91","n7e"
"152","n92","n93"
"153","n93","n22a3"
"154","n94","n90"
"155","n95","n64"
"156","n95","nc1"
"157","n96","n67"
"158","n97","n98"
"159","n98","n99"
"160","n99","n9a"
"161","n9a","n9c"
"162","n9b","n99"
"163","n9c","n9d"
"164","n9d","n9e"
"165","n9e","n9f"
"166","n9f","n96"
"167","na0","na1"
"168","na1","na2"
"169","na2","n61"
"170","na3","n96"
"171","na4","na0"
"172","na5","na6"
"173","na6","na7"
"174","na7","n72"
"175","na8","naa"
"176","na9","na0"
"177","naa","nab"
"178","nab","ne0"
"179","nac","na5"
"180","nad","na6"
"181","nae","na5"
"182","naf","na4"
"183","nb0","n94"
"184","nb0","nb7"
"185","nb1","n8d"
"186","nb2","nb5"
"187","nb3","nb0"
"188","nb4","nba"
"189","nb4","nb1"
"190","nb5","nb6"
"191","nb6","nb3"
"192","nb7","nb8"
"193","nb8","nb4"
"194","nb9","na3"
"195","nba","nb9"
"196","nbb","nbc"
"197","nbc","n94"
"198","nbd","nc3"
"199","nbe","nc7"
"200","nbf","nc8"
"201","nc0","nbf"
"202","nc1","nbf"
"203","nc2","nc0"
"204","nc3","nc2"
"205","nc4","nbd"
"206","nc5","nc4"
"207","nc6","nc5"
"208","nc7","n22a4"
"209","nc8","nbe"
"210","nc9","ncb"
"211","nca","nc9"
"212","nca","ncc"
"213","ncb","nd0"
"214","ncc","ncd"
"215","ncd","n187"
"216","nce","n185"
"217","ncf","nce"
"218","nd0","n189"
"219","nd1","nd7"
"220","nd2","nd1"
"221","nd3","ndd"
"222","nd4","nd9"
"223","nd5","nd9"
"224","nd6","n65"
"225","nd7","nd8"
"226","nd7","ncf"
"227","nd7","nca"
"228","nd8","nd4"
"229","nd9","nd3"
"230","nda","nd5"
"231","nda","ndb"
"232","ndb","ndc"
"233","ndc","nd6"
"234","ndd","n18f"
"235","nde","ndf"
"236","ndf","nd2"
"237","ne0","na9"
"238","ne1","ne6"
"239","ne1","ne2"
"240","ne2","ne7"
"241","ne2","neb"
"242","ne3","n1d8"
"243","ne3","ned"
"244","ne4","n109"
"245","ne5","n108"
"246","ne6","n10a"
"247","ne7","ne8"
"248","ne8","ne9"
"249","ne9","nea"
"250","nea","n10c"
"251","neb","nec"
"252","nec","ne3"
"253","ned","nee"
"254","nee","nef"
"255","nef","nf0"
"256","nf0","ne4"
"257","nf1","nf2"
"258","nf2","ne5"
